Epoch,Train Error,Test Error
1049,0.026,0.037
1050,0.03,0.049
1051,0.023,0.034
1052,0.029,0.039
1053,0.025,0.034
1054,0.03,0.046
1055,0.035,0.047
1056,0.032,0.042
1057,0.027,0.042
1058,0.03,0.039
1059,0.031,0.039
1060,0.024,0.035
1061,0.027,0.039
1062,0.039,0.041
1063,0.028,0.04
1064,0.027,0.044
1065,0.025,0.035
1066,0.028,0.038
1067,0.029,0.036
1068,0.032,0.034
1069,0.029,0.037
1070,0.032,0.03
1071,0.037,0.042
1072,0.024,0.032
1073,0.023,0.038
1074,0.028,0.035
1075,0.028,0.039
1076,0.027,0.037
1077,0.025,0.033
1078,0.035,0.025
1079,0.026,0.036
1080,0.037,0.044
1081,0.026,0.043
1082,0.028,0.042
1083,0.031,0.035
1084,0.03,0.037
1085,0.026,0.039
1086,0.033,0.035
1087,0.025,0.038
1088,0.03,0.038
1089,0.027,0.038
1090,0.026,0.039
1091,0.026,0.038
1092,0.03,0.039
1093,0.022,0.034
1094,0.029,0.039
1095,0.029,0.037
1096,0.031,0.037
1097,0.03,0.04
1098,0.024,0.042
1099,0.026,0.042
1100,0.034,0.042
1101,0.026,0.043
1102,0.029,0.034
1103,0.029,0.034
1104,0.025,0.045
1105,0.03,0.046
1106,0.03,0.032
1107,0.028,0.045
1108,0.029,0.041
1109,0.028,0.046
1110,0.03,0.036
1111,0.026,0.039
1112,0.028,0.046
1113,0.027,0.041
1114,0.03,0.036
1115,0.026,0.033
1116,0.025,0.036
1117,0.026,0.042
1118,0.03,0.043
1119,0.028,0.037
1120,0.027,0.044
1121,0.025,0.04
1122,0.027,0.034
1123,0.026,0.043
1124,0.023,0.033
1125,0.031,0.037
1126,0.031,0.038
1127,0.03,0.039
1128,0.028,0.046
1129,0.024,0.038
1130,0.027,0.037
1131,0.024,0.047
1132,0.027,0.039
1133,0.028,0.04
1134,0.028,0.046
1135,0.026,0.04
1136,0.033,0.039
1137,0.038,0.049
1138,0.028,0.043
1139,0.026,0.039
1140,0.029,0.049
1141,0.031,0.039
1142,0.028,0.044
1143,0.032,0.043
1144,0.027,0.044
1145,0.025,0.044
1146,0.032,0.045
1147,0.029,0.043
1148,0.025,0.037
1149,0.03,0.038
1150,0.03,0.037
1151,0.028,0.04
1152,0.029,0.038
1153,0.028,0.037
1154,0.02,0.038
1155,0.027,0.043
1156,0.028,0.039
1157,0.032,0.04
1158,0.025,0.043
1159,0.022,0.037
1160,0.03,0.034
1161,0.03,0.04
1162,0.027,0.049
1163,0.031,0.037
1164,0.025,0.033
1165,0.025,0.041
1166,0.03,0.033
1167,0.026,0.044
1168,0.027,0.042
1169,0.029,0.046
1170,0.028,0.036
1171,0.022,0.036
1172,0.031,0.05
1173,0.026,0.042
